id,statement,label
3113,"Er was de schuldencrisis, er was de migratiecrisis, en er was de beslissing van het VK de Unie te verlaten.",FNR
3140,Binnen de Europese Unie bestaan ter zake een aantal verschillende meningen.,FNR
3146,De volgende weken en maanden zullen wij werken aan zo’n programma.,NF
3147,De Commissie heeft een kalender voorgesteld.,FNR
3200,Gisteren vernamen wij dat 62 miljard via Dubai wordt versluisd.,FR
3227,En dat zorgt voor onrechtvaardige akkoorden en voor heel veel chaos en onzekerheid.,NF
3232,Volgende week krijgen wij de aanbevelingen van de Panamacommissie.,FNR
3268,"Sommige lidstaten, waaronder Frankrijk, hebben het stilzwijgende akkoord gekregen van de Europese Commissie om een verplichte etikettering van de oorsprong in te voeren en dit sinds 1 januari 2017.",FR
3277,Concluderend verklaarde de Europees commissaris voor Voedselveiligheid Andriukaitis open te staan voor die evaluatie.,FNR
3289,"Ik zal hierover minister Peeters nog bevragen, want deze problematiek treft onze hele economie.",NF
3294,"Dit lijkt mij een zeer interessante piste, maar ik kan mij niet van de indruk ontdoen — en als ik mij vergis, zult u mij dat zodadelijk wel zeggen — dat er nog een aantal angels aan dat verhaal zit.",NF
3296,"Eerst en vooral, mijnheer de staatssecretaris, het project waarover wij gisteren konden lezen beperkt zich tot de Antwerpse context.",FNR
3306,Heel wat vrachtwagens uit het buitenland stoppen of vertrekken in onze havens.,FR
3319,De ANPR-camera’s worden vandaag al gebruikt om verschillende vormen van fraude tegen te gaan.,FR
3384,Men mag pas arts worden als men een diploma van arts heeft.,FNR
3386,Dat geef ik u als idee mee.,NF
3423,Het zal uiteindelijk de werkgever zijn die beslist.,NF
3425,Voor de extra uren zullen ze geen overuren meer betaald krijgen.,FR
3443,"Collega Hedebouw en collega Kitir, u verwijst naar het voorstel rond werkbaar en wendbaar werk.",FNR
3445,In verband met de 38-urenweek vind ik dat de waarheid onrecht wordt aangedaan.,NF
3448,Ik heb hier de lijst van alle cao’s en koninklijke besluiten die zijn afgesloten.,FNR
3463,"U kunt 940 miljoen halen bij de multinationals en bij de miljonairs, maar dat doet u niet.",FR
3475,"Ik herhaal, het kan vandaag al en het stond ook in het regeerakkoord van Di Rupo waarnaar u verwijst.",FR
3480,De menselijke gevolgen waren immens.,NF
3496,"Het is Didier Reynders, die aan de federale regering heeft voorgesteld met de betrokken ministers een taskforce te organiseren, teneinde zo snel mogelijk alle krachten te verzamelen en met de betrokken sectoren te overleggen.",FNR
3519,Ik dank u voor de bestaande ondersteuningsmaatregelen; gelet op de zeer zware impact van de terreuraanslagen zullen er zeker ook bijkomende maatregelen moeten worden genomen.,NF
3520,"Laten wij voortwerken en vooral allemaal de economie, de handel en de horeca omarmen en ons niet laten doen.",NF
3525,"Uiteraard roept dat een aantal vragen op, mijnheer de minister.",NF
3528,Er duiken nu nieuwe feiten op.,FNR
3552,Er is heel kordaat opgetreden en die nieuwe elementen zijn meteen doorgegeven aan de Economische Inspectie.,FNR
3604,Een Duitse minister zegt dat de nucleaire veiligheid in België niet voldoet en vraagt na het inkijken van de rapporten om de reactoren stil te leggen.,FR
3638,Uit een hoorzitting van dit Parlement blijkt dat in 2012 maar liefst 628 miljoen euro aan geldboetes – zowel van de politie als correctionele straffen – niet werd geïnd.,FR
3657,Bovendien is uw vraag over Mercurius terecht.,NF
3682,"Mijnheer de voorzitter, mijnheer de minister, ik dank u voor uw antwoord.",NF
3754,"Gisterenmiddag, op klaarlichte dag, vlogen de dranghekken nog in het rond op het Muntplein en werden met ijzeren staven de voorruiten van wagens van toevallige passanten aan diggelen geslagen.",FR
3796,Maar ons antwoord doet er niet toe.,NF
3800,"Moeilijke situaties thuis, op school of eender waar zijn nooit een vrijgeleide voor dergelijk gedrag ten aanzien van politiemensen, handelaars en iedereen die zich in een normale samenleving correct probeert te gedragen.",NF
3813,Dat is de vraag van onze fractie.,FNR
3815,"De afgelopen jaren stelden wij een resem zware feiten vast, in het bijzonder tegen onze politiemensen.",FNR
3831,Het probleem ligt bij de aansturing.,NF
3853,U bent onder andere niet bevoegd voor de lokale politie.,FNR
3871,"U ging, met grote woorden, opkuisen.",NF
3878,"Hoe zult u in godsnaam de problemen oplossen, als u ze niet eens durft te benoemen!",NF
3922,Nultolerantie en lik-op-stukbeleid zijn geen nieuwe woorden.,FNR
3933,"Mevrouw Kitir, we investeren acht miljoen euro voor veiligheid en preventieplannen in Brussel.",FR
3961,De frigo is hem te koud en daar blijft hij liever af.,NF
3969,Ondanks die conclusie komt de N-VA eigenlijk tot een andere conclusie.,NF
3980,Tot nu toe zijn wij in het Parlement ietwat op onze honger gebleven in de discussies over de kernuitstap en het energiepact.,NF
4000,"Keuzes die wij gaan maken om aan te tonen hoe wij het licht zullen laten branden, na 2025.",NF
4035,Wij hebben nood aan een zekere ecologische planificatie van onze economie.,NF
4044,"Ook de keuze die Elia naar voren schuift om de restcapaciteit in gas te voorzien, zal een enorme uitdaging zijn.",NF
4054,Daarin wordt duidelijk aangetoond dat 2025 wel degelijk haalbaar is op voorwaarde dat er nu wordt beslist en er dus geen tijd meer wordt verloren.,FR
4094,Wij vinden niet dat een volledige sector de dupe moet zijn van enkele rotte appels in die sector.,NF
4106,"Hij heeft dus nooit gepleit voor meer manschappen bij de BBI, op geen enkel moment waarop hij daar geweest is.",FR
4140,Hoofdstuk 2 is gewijd aan de antiwitwaswetgeving.,FNR
4147,Zij vroegen het begrip beter te definiëren.,FNR
4170,Daarom voorziet aanbeveling nummer 21 in een verbod voor belastingplichtigen om economische betrekkingen te hebben met juridische constructies die zijn gevestigd in belastingparadijzen waar zij geen werkelijke economische activiteiten hebben.,FNR
4176,"Het is niet zo dat de basis, de start, het ontnemen van gegevens, niet tot een relevant maatschappelijk probleem leidt.",NF
4208,"Als u zoiets zegt, kunt u niet anders verwachten dan dat wij vertellen hoe het in de realiteit is gegaan.",NF
4233,Mag ik u erop wijzen dat er slechts bij acht aanbevelingen een tegenstem van de oppositie was.,FR
4285,"Vandaag, beste collega's – ik hoop ook dat iedereen ook in dat verband met de nodige kritische zin eens om zich heen kijkt –, is het concurrentievermogen tussen staten een belangrijk gegeven.",NF
4353,Wij hebben aanbevelingen gemaakt op basis van het rapport van de experts.,FNR
4357,"Als het over rulings gaat, de minister van Financiën heeft als eerst de uitwisseling van rulings mogelijk gemaakt.",FR
4364,Wij vragen ook dat het wettelijk verankerd wordt.,FNR
4370,"Welnu, volgende week komt het rapport uit van het Europees Parlement.",FNR
4382,Ik haal ook het argument aan dat de heer Van de Velde al aanbracht.,FNR
4418,Om die reden werd in 2009 ook de unaviaprocedure goedgekeurd naar aanleiding van de onderzoekscommissie Fiscale Fraude.,FNR
4439,Dit is wellicht de aankondiging van een nieuw tijdperk door de NVA.,NF
4462,Dat gaat veel verder dan wat ooit hier in de Kamer is besproken.,NF
4503,Ik kan ook nog de aanbevelingen 98 en 99 voorlezen.,FNR
4506,Daarover hebben wij ook gedebatteerd in de commissie.,FNR
4529,"Een aantal dingen heeft niet opgebracht wat we wilden, zoals de kaaimantaks.",NF
4544,"In die zin betreur ik nu al de voorafname op de stemming, die voor u negatief zou zijn, collega Laaouej.",NF
4576,"In hoofdstuk II waar het gaat over de antiwiswasreglementering, staat onder meer het verbod op cashbetalingen.",FNR
4618,Dat moet natuurlijk altijd met respect voor de fundamentele rechten gebeuren.,NF
4632,"De dubbelstructuren zullen daarmee worden aangepakt, de uitkeringen voor de trust worden ook in rekening gebracht, een specifieke antimisbruikbepaling wordt hervormd zodat wij ook de sicavs kunnen aanpakken enzovoort.",NF
4711,Vroeger moest een indicatie van fraude worden bewezen.,FR
4722,Dat is precies de uitwerking die wij met de aanbeveling in kwestie beogen.,NF
5655,"RotterdamPatrick Verkooijen beent door zijn nog kale kantoor, 29 hoog, en wijst naar beneden.",FNR
5658,Geen land weet beter hoe je met water omgaat dan Nederland.',NF
5665,"'Volgens het laatste IPCC-klimaatrapport hebben we nog twaalf jaar de tijd om de opwarming onder de 1,5 graden te houden.",FR
5668,Maar we moeten wel de realiteit onder ogen zien.,NF
5676,"We zijn te laat, leer er maar mee leven.",FNR
5677,'Dat is niet de boodschap.,NF
5679,"Maar je ziet de implicaties bij 1 graad opwarming, laat staan bij de 3 graden waar we heen koersen.",FNR
5680,Het gaat sneller fout dan we dachten.,NF
5685,"Wat je leest in het IPCC-rapport zie je overal gebeuren: extreme droogte, hevige regenval, hittegolven.",FNR
5695,Ik sprak onlangs met de burgemeester van Miami.,FNR
5697,De prijzen van huizen dicht bij het strand zakken in elkaar.,FR
5702,"De Wereldbank kondigde in Katowice aan dat ze 50 miljard dollar gaat investeren in adaptatie, evenveel als in de strijd tegen de opwarming.",FR
5716,De Wereldbank voorspelt 142 miljoen klimaatvluchtelingen tegen 2050.,FR
5740,"In Ottawa, Canada, stromen nogal wat kelders onder.",FNR
5741,Een preventief drainagesysteem kost gauw 6.000 dollar.,FR
5742,Maar de schade van een ondergelopen kelder loopt op tot 45.000 dollar.,FR
5745,Dus dokterden ze formules uit waarbij je verzekeringspremie of hypotheekaflossing naar beneden gaat op voorwaarde dat je maatregelen neemt.,FNR
5755,'Dat vind ik een verkeerde vraag.,NF
5756,De VN gaan uit van 300 miljard dollar per jaar tegen 2030 en 500 miljard tegen 2050.,FR
5758,Dan zitten we aan pakweg 1.500 miljard per jaar tegen 2050.,FR
5761,"Elke geïnvesteerde dollar, euro of yen betaalt zich terug.",FNR
5763,De hele opwarming van de aarde bewijst dat politici niet goed zijn in rentmeesterschap.,NF
5768,"'Kijk, de rekening van de droogte van 2018 wordt betaald door onze boeren.",FR
5777,"In Katowice kondigden 415 institutionele beleggers, vooral pensioenfondsen die samen 32 biljoen dollar beheren, aan dat ze alleen nog in klimaatvriendelijke projecten investeren.",FNR
5778,Dat was een uitloper van de Task Force on Climate Disclosure die Mike Bloomberg vorig jaar voorzat.,FNR
5781,"Als overheden dralen, is het nog belangrijker dat je die spelers mee hebt",NF
5785,Wereldwijd gaat de komende 15 jaar 90 biljoen dollar naar infrastructuur.,FR
5787,"Investeer die 90 biljoen in wegen, havens of ziekenhuizen klimaatbestendig.",NF
5790,"Sterker, als we niets doen, gaan we er economisch op achteruit.",FNR
5796,'We hadden er een programma lopen waarbij boeren 6 dollar kregen als ze duurzamer met hun land omgingen.,FNR
5797,Ik zie ons daar nog staan.,NF
5806,"Droogtebestendige gewassen: allemaal goed, maar het geeft geen zin als ze wegspoelen.",NF
5809,Dat merken ze meteen in hun portemonnee.,NF
5812,"Als je het goed aanpakt, kan het er zelfs beter worden dan het nu al is.",NF
5826,Een man als Ban Ki-moon ziet de urgentie en legt zijn gewicht in de schaal.,NF
5827,Hij trok de Chinese president Xi Jinping over de streep.,NF
5829,De meeste landen dralen met hun klimaatplannen.,NF
5833,"Het aantal Republikeinen dat pleit voor klimaatactie, neemt toe - voornamelijk als gevolg van de bosbranden in Californië.",FR
5836,"'Weet u, ik ben allergisch voor de houding: het wordt toch niets dus we geven het op.",NF
5838,Voor mij is klimaat het allergrootste vraagstuk.,NF
5846,"Hier waren nietalleen lokale jongeren aan het werk, de stenen waren overdag al klaargelegd.",FNR
5851,"Succes in 'De Slimste Mens', applaus voor zijn openhartigheid over depressie, viceminister-president geworden en auteur van het boek 'Molenbeek/Maalbeek', waarin hij de staat van de stad opmeet na 22 maart 2016.",FNR
5854,Zou u het van haar tolereren mocht ze keer op keer de vuilniszakken in brand steken,NF
5857,"Maar wat deze keer gebeurd is, tart alle verbeelding.",NF
5865,Dan vraag ik mij af: wat zit daarachter,NF
5871,"""Ik begrijp uw scepsis en ook bij mij is die groot.",NF
5872,Maar we kunnen dit niet verder laten escaleren.,NF
5899,"Ik denk dat we terug in die wijken moeten duiken en aan 'community policing' doen, hoe moeilijk dat ook is.",NF
5901,"Ik hoop dan ook dat Pieter De Crem (CD&V) zijn goede bedoelingen zal kunnen waarmaken, maar hij is natuurlijk niet de eerste binnenlandminister die stuit op moeizame rekrutering.""",NF
5902,Volgens Theo Francken (N-VA) vierden de crimineeltjes de terugkeer van de PS aan het bewind in Molenbeek.,FNR
5916,De Vlaamse partijen in Brussel - hoe klein ook - zijn daar veel beter in.,NF
5921,"Franstalige ouders vechten vandaag bijna letterlijk voor een plaatsje in een Nederlandstalige school, omdat het Franstalig onderwijs door de band genomen slecht is.",FR
5922,"Slechts 7% van de leerlingen komt daar als tweetalige uit, in het Vlaams onderwijs in Brussel is dat 70%.",FR
5938,Straks onttroont N-VA Open Vld wel als grootste Vlaamse partij in het gewest.,NF
5954,Het is logisch dat ik nu,NF
5973,"Zij wilde dat zo graag, maar ik heb dat nog nooit gedaan.",FNR
5974,"Doodsbang ben ik."" Assita Kanko doet enthousiast haar plannen voor de feestdagen uit de doeken.",NF
5981,"Allebei zijn ze vrouwenrechtenactivist, allebei nemen ze geen blad voor de mond en allebei hebben ze een bewogen levensverhaal.",FNR
5991,Ik zie partijen die iedere zomer weer het recht op het dragen van een boerkini verdedigen.,FNR
5995,"We moeten streng zijn, ook voor nieuwkomers.",NF
6018,Maar hoor je al die mensen wanneer het gaat over iemand van N-VA,NF
6023,"Ik had ze graag gehoord,",NF
6025,Maar blijkbaar is het normaal dat dit mij overkomt.,NF
6034,"Ik ben ontembaar, ik wil mijn eigen ding doen.",NF
6041,Ik was gewoon zo geëmotioneerd.,NF
6043,Maar ik heb nooit overwogen om mijn mond te houden.,NF
6056,"""Ik weet waarover ik praat.",NF
6060,Vanaf mijn negende mocht ik niet meer lachen.,FNR
6066,"Mijn vader was niet gelovig, maar moest zich bekeren om met mijn moeder te mogen trouwen.",FNR
6067,"En dan nog mocht het niet, hij was voor mijn grootouders",NF
6071,De jongens mochten gewoon blijven liggen en overdag spelen.,FNR
6076,Een hoofddoek heeft geen plaats achter het loket van het stadhuis.,NF
