content,category
Ook wij ervaren een gevoel van schaamte.,NFS
We kunnen die vicieuze cirkel doorbreken door het rigide Europese boekhoudkundige kader aan te passen.,NFS
U wilt liever dat de patiënten en niet de farmaceutische multinationals de rekening betalen,NFS
Wij zullen dat doen binnen ons kader en met onze waarden en zullen daarmee de strijd tegen de terroristen winnen.,NFS
"Iedereen moet gelijk zijn voor de wet, geen positieve maar ook geen negatieve discriminatie, wel een doelgerichte strijd tegen grote fraude.",NFS
Er moet een betere controle komen van onze externe grenzen en betere contacten met Afrikaanse landen.,NFS
Het EVA-Hof heeft ondertussen verklaard dat er zelfs sprake is van schending van de mensenrechten in de geldende procedures.,CFS
De Commissie heeft een kalender voorgesteld.,UFS
Er lopen verschillende besprekingen over corridors.,UFS
"U staat een geneeskunde met twee snelheden voor, terwijl u zou moeten zorgen voor een laagdrempelige geneeskunde voor iedereen en niet alleen voor de rijken!",NFS
"Mijnheer de minister, sp.a pleit voor beide",UFS
De nood- en doodskreten van de plaatselijke bevolking wekken woede en verontwaardiging op en we schamen ons voor onze onmacht.,NFS
Met deze gegevens kunnen wij ook veel gerichter controleren en onze middelen veel gerichter inzetten.,NFS
Wij wachten inderdaad de resultaten van de impactstudie af.,NFS
Het Agentschap zal nauw verbonden blijven met de algemene administratie van de Thesaurie.,NFS
De contacten gebeuren tussen de politiediensten.,UFS
Ik ben van plan preciseringen te vragen aan de commissaris over de termijnen die hij nodig heeft om dat rapport voor te leggen.,NFS
"Vandaag wordt er gefluisterd dat de meerderheid er alles aan doet om het vervelende rapport van het Monitoringcomité dat aantoont dat er budgettair geen orde op zaken is gesteld, vooral niet te krijgen voor de megapersconferentie en de superministerraad, voor de goednieuwsshow van Charles Michel.",NFS
Ik meen dat dit belangrijk is.,NFS
"Ten eerste, u bent op het einde bijzonder duidelijk geweest.",NFS
"De tijd van Coucke en Goethals, toen beklaagden het slachtoffer werden van oneerlijke processen, omdat ze het Frans niet machtig waren en hun proces volledig in het Frans werd gevoerd, ligt gelukkig al heel ver achter ons.",NFS
Hopelijk zullen we volgende week in de commissie een consensus kunnen bereiken over de aanbevelingen voor uitvoering door de regering.,NFS
De verantwoordelijkheid ligt niet alleen bij het regime van Bashar al-Assad maar zeker en vast ook bij Rusland en Iran.,NFS
De oplossing bestaat erin dat er eindelijk een ingangsexamen wordt georganiseerd aan Franstalige kant,NFS
"Mijnheer de minister, op het Vlaamse niveau zegt de betrokken minister, mevrouw Homans, dat zij u heeft aangezocht ter zake een onderzoek in te stellen via de Veiligheid van de Staat.",CFS
Mijn partij begrijpt een dergelijke beslissing niet.,NFS
"Wel, het is natuurlijk moeilijk om te bewijzen dat men ergens niet geweest is.",NFS
"Wanneer een hervorming dringend noodzakelijk is, zijn wij bereid om mee te werken, maar wij willen niet dat er wetten op een drafje moeten worden goedgekeurd zonder dat ze eerst grondig werden onderzocht.",NFS
“Het Zomerakkoord is geen budgettaire fictie.,NFS
Het is duidelijk dat België alleen niet heel Europa tot actie kan aanzetten.,NFS
Dat is een simpele regel van drie: wij hebben voor die aandelen van BNP Paribas 58 euro per aandeel betaald,CFS
U wilt uw eigen idee erdoor drukken.,NFS
"U wilde de voorbije maanden voor meer dan 7,6 miljard nieuwe belastingen invoeren.",CFS
Ik zal straks met mijn Canadese collega’s spreken.,NFS
"Inzake de communicatie kan ik u zeggen dat er gisteren op een bepaald moment, na de beslissing in het kernkabinet, een lek op Bloomberg is geweest",CFS
Dat was een goede vertaling van uw liberale visie op de toegang tot de gezondheidszorg.,NFS
"Mijnheer de voorzitter, ik vind het opvallend dat deze reclame in alle universiteitssteden verboden wordt, behalve in Antwerpen.",NFS
"Daarop volgde grote en terechte verontwaardiging, zowel in het binnenland als in het buitenland.",NFS
"Wij zijn het er uiteraard volkomen mee eens dat een beklaagde, van welke nationaliteit ook, recht heeft op een eerlijk proces, dat hij moet kunnen begrijpen waarvan hij wordt beticht en de essentie van de procesgang, waaronder het vonnis, moet kunnen volgen en begrijpen.",NFS
"De Ministerraad heeft inderdaad beslist om bijkomende middelen vrij te maken voor een bedrag van een miljard euro, zoals u al zei, boven op het saldo van het GEN-fonds en van de prefinanciering van het Waals Gewest.",CFS
We moeten de moed hebben om die te ondersteunen.,NFS
Het Rekenhof is evenwel van oordeel dat die rendementen nooit gehaald zullen worden.,CFS
"Zij heeft ook verklaard dat de doelstellingen voor België bijna niet haalbaar zijn en nu blijkt – ik weet niet of het waar is – er een nota te circuleren in het kabinet, misschien zelfs in de regering, die de doelstellingen voor 2030, namelijk de vermindering van de CO2-uitstoot met 35 %, ernstig in vraag stelt.",CFS
Het is de hoogste tijd dat men begint te beseffen dat er gevaar dreigt.,NFS
"Ten tweede, wat u hebt gezegd over de financiële transactie, heb ik niet begrepen zoals de vorige collega dat heeft begrepen",NFS
Het lijkt mij een moeilijkheid te zijn dat zulks nog steeds niet het geval is.,NFS
"Trouwens, wij hebben daar in het verleden tot vandaag nooit wat in de pap te brokken gehad; wij hadden daar nooit iets te zeggen",NFS
"Het evaluatie-instrument werd ontworpen door het UC Leuven- Limburg en bestaat uit een vragenlijst die moet worden ingevuld door de politie, de magistraat of een persoon die op een andere manier beroepsmatig bij de feiten betrokken is.",UFS
Het staat zelfs op een minimum in ons land.,CFS
We moeten alles in het werk stellen om de sceptici over de streep te halen.,NFS
De professionalisering van dat agentschap zal daartoe bijdragen.,NFS
De quota voor 2024 en volgende jaren worden vastgelegd volgens een nieuwe berekeningsmethode op basis van het bevolkingsaantal,CFS
"Dit lijkt mij een zeer interessante piste, maar ik kan mij niet van de indruk ontdoen — en als ik mij vergis, zult u mij dat zodadelijk wel zeggen — dat er nog een aantal angels aan dat verhaal zit.",NFS
Zij beweren dat ze radarbeelden hebben waaruit blijkt dat de vliegtuigen opgestegen zijn in Jordanië en in de lucht werden bijgetankt door de Verenigde Staten.,CFS
"Net als in de commissie voor de Financiën zullen wij ons onthouden, omdat er vragen onbeantwoord blijven en de ongerustheid niet geheel is weggenomen.",NFS
En dat zorgt voor onrechtvaardige akkoorden en voor heel veel chaos en onzekerheid.,NFS
"Tot besluit, stel ik vast dat uw en mijn focus anders zijn.",NFS
In een aantal recente persartikels vernemen wij echter dat ons land nog steeds achterloopt en dat reeds meer dan 30.000 jobs in onze buurlanden werden gecreëerd en niet hier,CFS
"Wij zetten hier vandaag immers een belangrijke stap, maar daarmee houdt het niet op.",NFS
"In de eerste plaats is er het grote aantal bewoners van de jungle, meer dan tienduizend personen.",CFS
"Wij moeten er alles op inzetten dat dit niet gebeurt, want het zou een slecht signaal zijn aan wie de afgelopen jaren braaf en trouw zijn boetes heeft betaald bij de vaststelling van een overtreding.",NFS
"De gewonden worden geëvacueerd naar het gebied dat in handen is van de regeringstroepen en, als ze dat willen, naar rebellengebieden.",CFS
De vakbonden blijven bedrijf per bedrijf beslissen wat havenarbeid is en wat niet.,CFS
We zijn halfweg de regeerperiode en 2017 is dan ook een belangrijk jaar waarin de hervormingen moeten worden voortgezet.,NFS
"Dit zal uiteraard ook nefast zijn voor onze inspanningen, en ook voor die van collega’s, in de strijd tegen Daesh.",NFS
"Het is niet alleen een plaats waar de eredienst wordt gehouden, maar ook een kazerne, een uitvalsbasis, een voorpost, een bolwerk, voor het verspreiden van hun ideeën.",NFS
"In het kader van de definiëring van de zware taken zijn wij er ook voorstander van dat de pensioenstelsels van ambtenaren, zelfstandigen en werknemers naar elkaar toe groeien, waarbij er geen bonussen voor de ene groep geleverd worden ten koste van een andere groep.",NFS
"Zo niet wordt het mooi op papier, maar een chaos in de praktijk.",NFS
"Mijnheer de minister van Buitenlandse Zaken, toch moeten wij ook de dialoog met Rusland openhouden, want iedereen weet dat wij voor een oplossing van het conflict in Syrië Rusland nodig hebben.",NFS
"Laat ons alstublieft die kans aangrijpen, om te tonen dat het ons menens is met ons klimaat.",NFS
Wij moeten ons daarvan bewust zijn.,NFS
"Mevrouw de minister, wij hebben vernomen dat u de beslissing hebt genomen om vanaf 2017 geen nieuwe wijkgezondheidscentra meer te erkennen.",CFS
We zullen de voorliggende tekst dus goedkeuren.,UFS
"Mevrouw de minister, ik sta erop dat de bilan op 23 juli eerlijk gebeurt.",NFS
"Uitgerekend vandaag heeft de commissie Terrorismebestrijding, onder leiding van Patrick Dewael, een aantal aanbevelingen bekendgemaakt, onder andere dat er beter moet worden samengewerkt tussen de inlichtingendiensten en dat de informatie op de verschillende lijsten van terreurverdachten en mogelijke geradicaliseerden moet worden uitgewisseld.",CFS
Voorlopig heb ik daar nog niet veel van gezien.,NFS
"Mijnheer de minister, mijn vragen aan u zijn de volgende.",UFS
Verras ons en bouw die participatie op korte termijn zoveel mogelijk af,NFS
Dat zullen wij over een paar jaar moeten evalueren.,NFS
"Van de 622 personen die op de OCAD-lijst staan, zijn er minstens nog 100 tot 150 op vrije voeten, hier, bij ons, in ons land.",CFS
Dat is alleszins onze ambitie ter zake.,NFS
Soms staan er zaken in de pers die na onderzoek niet helemaal waar blijken te zijn.,UFS
"Dank u voor uw antwoord, mijnheer de minister.",NFS
"Een zeer gezellige aangelegenheid, lijkt mij.",NFS
Volgende week krijgen wij de aanbevelingen van de Panamacommissie.,UFS
"Voilà, dat moet gezegd worden.",NFS
Voor onze toekomstige energievoorziening worden er forse stappen vooruit te zetten.,NFS
"Mevrouw de staatssecretaris, ik zeg dat om te duiden dat sport belangrijk is.",NFS
Zo sympathiek is mevrouw Wilmès.,NFS
Zij vormen de spil van de datalekken.,NFS
Toen zei u dat die 245 miljoen aan opbrengst hoogst dubieus was en de regeling zelf discriminatoir.,CFS
Ik meen zelfs een jaarlijks ritme in het hernieuwen van dat voorstel te herkennen.,NFS
"Sinds 2010 zijn er 30 % daklozen bijgekomen en jaar na jaar sterven er meer mensen op straat omwille van dakloosheid, vorige jaar telden wij nog 72 doden.",CFS
Ik zou graag een antwoord krijgen op die vraag,NFS
We kijken uit naar een spoedige oplossing.,NFS
Op kap van de daklozen!,NFS
"De Russische ambassadeur werd vandaag op het matje geroepen door mijn diensten, op het niveau van de ambassadeur die de geografische dienst leidt, belast met onze relaties met Rusland.",CFS
Op nationaal niveau hebben wij met staatssecretaris Francken bewezen dat wij het aankunnen als er opnieuw een vluchtelingenstroom op gang zou komen.,NFS
Ik denk dat u toch eens een grondige denkoefening mag beginnen over ethiek in de politiek en over ethiek bij de uitvoerende macht.,NFS
Ik denk dat dit echt niet kan.,NFS
Vandaag zijn er zes aparte politiezones.,UFS
"De menselijkheid is ten onder gegaan in de ruïnes van Aleppo, zoals dat in het verleden al gebeurde in Srebrenica en Rwanda.",NFS
Dat hadden wij gewoon kunnen lezen!,NFS
"Maar meer dan dat, wij zijn Europeanen en het programma van mevrouw Le Pen is zeer gevaarlijk voor Frankrijk, voor Europa en voor België, met vele turbulenties met betrekking tot bijvoorbeeld onze munt",NFS
"De FOD Financiën bestaat uit meer dan 20.000 ambtenaren, die controles moeten uitvoeren, de fiscale administratie moeten doen en fiscale controles moeten verrichten.",CFS
"Men is heel kwistig geweest met het afsluiten van heel wat dubbelbelastingverdragen, maar men heeft daarin, wat ons betreft, de verkeerde volgorde gevolgd.",NFS
"De rekening voor het vertaalwerk bedroeg in 2011 5,8 miljoen euro.",CFS
Dat alles zeg ik niet; dat concluderen gezondheidseconomen in verschillende studies en het Kenniscentrum.,CFS
"Wat dat betreft, mijnheer de minister, zou u misschien ook daar het voorbeeld van Poetin moeten volgen.",NFS
Dit zou ermee te maken hebben dat sinds 2010 aan de politiediensten geen uitzondering werd verleend voor het verkrijgen van die machtiging.,CFS
Het bouwt op van 100 miljoen euro en gaat door tot 750 miljoen euro ultiem in 2020.,CFS
Uw budgettaire moeilijkheden dicteren de agenda,NFS
"Hoe dan ook, dat alles staat hierin.",NFS
Het is goed dat dit probleem snel wordt aangepakt en snel wordt rechtgezet.,NFS
Desalniettemin schept dit een groot probleem voor ons land.,NFS
"Als zelfs een dj die midden in de jongerencultuur staat, de gemoederen niet kan bedaren, dan moeten die jongeren zeker niet verwijzen naar de politiediensten.",NFS
De eerste vraag die rijst is of in het verleden procedureel iets fout is gelopen waardoor de politie nu problemen ondervindt.,NFS
"Het FANC heeft daarop gisteren gereageerd dat de Duitse waakhond geen nieuwe elementen naar voren heeft gebracht en dat het de opmerkingen niet direct in overweging zou moeten nemen, omdat die mee onderzocht werden.",CFS
"Laat ons eerlijk zijn, tot zolang er twijfels bestaan over die kernuitstap is geen enkele investeerder geneigd om fors te investeren in onze Belgische energiecapaciteit.",NFS
"We zullen doen alsof u daar wel zitting in hebt, alsof u daar virtueel aanwezig zou zijn.",NFS
Ook dat is ver zoek.,NFS
"U hebt via het sociaal overleg een aanpassing uitgewerkt, die uit het Parlement hebt weggehouden om het sociaal overleg niet te schaden.",NFS
Ik vind niet dat men kan spreken van een gratuite Europese procedure of prietpraat.,NFS
Wij doen er alles aan om dat te realiseren.,NFS
"Dat is slecht voor de reputatie van ons land, dat naar aanleiding van verschillende andere aanslagen, herinner u Parijs, onze eigen luchthaven van Brussel, enzovoort, reeds internationaal geboekstaaft staat als de draaischijf van het internationaal terrorisme en zeker van Islamitische Staat, van het radicaal islamitisch terrorisme.",NFS
"Vandaag, beste collega's – ik hoop ook dat iedereen ook in dat verband met de nodige kritische zin eens om zich heen kijkt –, is het concurrentievermogen tussen staten een belangrijk gegeven.",NFS
"Er werd 9,4 miljard betaald voor de aandelen van Fortis, die vervolgens, korte tijd later, geruild zijn voor 121 miljoen aandelen van BNP Paribas",CFS
Wij mogen niet tolereren dat hij dat ook hier doet.,NFS
Dit examen zal er moeten blijven en het zal ook moeten werken,NFS
Een Duitse minister zegt dat de nucleaire veiligheid in België niet voldoet en vraagt na het inkijken van de rapporten om de reactoren stil te leggen.,CFS
"U zegt dat u vandaag geen standpunt zult innemen, maar in uw documenten staat te lezen dat de afschaffing van de functie van onderzoeksrechter in de pijplijn zit.",CFS
Ik ben altijd een groot voorstander van de NAVO geweest.,NFS
Het belang van het dossier werd gisteren nogmaals aangetoond tijdens het actuadebat in het Vlaams Parlement.,NFS
De zogenaamde Dexiapartijen zullen wel weten wat ik bedoel,NFS
Ondertussen is trouwens de minister zelf zo ver.,NFS
De partijen in het conflict moeten echter willen meewerken aan een oplossing.,NFS
"Er rijzen veel vragen, mijnheer de minister.",NFS
"Respect moet men kunnen afdwingen, pas dan kan men terug naar een veilige samenleving.",NFS
Misschien kan dat eerst als proefproject gebeuren voor het stemmen in het buitenland en later worden uitgebreid naar het binnenland.,NFS
Die discussie toont aan dat wij daar echt nood aan hebben.,NFS
"Plots hoor ik dat het overschot in 2024 geen 3000 zal zijn, maar 1531, de helft dus",CFS
Ik heb een vraag gekregen over de reacties van de ambassadeur.,UFS
Ik wens de ongerustheid van de gemeenten te vertolken.,NFS
"Ik wil ook opmerken dat IS gisteren heeft laten weten dat het oproept om Europa aan te vallen, met alle middelen, als vergelding voor de aanval van de coalitie op Mosoel.",CFS
De premier vond toen dat er weinig tot geen garanties werden gegeven in het voorstel van Lufthansa.,CFS
De verontwaardiging hierover wordt dan ook zeer breed gedragen.,NFS
Ik heb toen hetzelfde idee geopperd om tot echte hervormingen te komen.,NFS
Daarenboven is er in al die jaren nooit één incident geweest.,CFS
"U bevestigt dat we twee bestuurders houden, maar geen woord over de manier waarop zij de veiligheid van ons land zullen garanderen, over hoe zij ervoor zullen zorgen dat dit ons niet meer overkomt",NFS
"Ik meen, collega’s, dat er gewoon geen enkel alternatief meer is dan die informatie publiek te maken, zonder de veiligheid van onze militairen in het gedrang te brengen.",NFS
"Maar het is natuurlijk de perceptie, die telt, en men wil de indruk geven aan de publieke opinie dat de meerderheid het spel speelt van de grote fraudeurs, Nike bijvoorbeeld.",NFS
Zij zijn in verschillende contreien actief.,NFS
"Mijnheer de minister, ik dank u voor uw antwoord en voor het snelle ingrijpen.",NFS
"Mijnheer Bracke, misschien moet u na de oproep van zondag actie ondernemen en dit door het Comité P laten doorlichten, niet om mensen met de vinger te wijzen, maar wel om te lessen te trekken voor de toekomst.",NFS
Het betreft immers een gevaarlijk precedent in het voordeel van de herverkaveling van de Europese interne markt.,NFS
"De breuk tussen meerderheid en oppositie is niet in een achterkamer ontstaan, maar wel in de werkgroep, waarin wij vanuit de meerderheid gezegd hebben dat we geen stukken van de tekst willen schrappen.",NFS
"Mijnheer de voorzitter, mijnheer de minister, collega’s, deze week lazen we nog in de media dat het aantal verkeersslachtoffers daalt.",CFS
Aan het einde van deze werkzaamheden zou ik hen hulde willen brengen en ik zou hen willen aanmoedigen om dit vooral te blijven doen.,NFS
"Mijnheer de minister, ik dank u voor het uitgebreide antwoord.",NFS
Collega's hebben er daarnet op gewezen dat men niet meteen een concreet of een volledig dossier in handen heeft wanneer er datalekken zijn.,UFS
"Dat leidt tot procedurefouten, dat leidt tot een gebrek aan transparantie.",NFS
Er wordt met de afgevaardigden van het regime onderhandeld over de transitie.,CFS
"Die relaties zijn correct en duidelijk, maar ook noodzakelijk.",NFS
"Daarentegen komt wel een aantal mensen op de radar zoals de Queen en de Muscles from Brussels, waarover we een prachtig verhaal kregen.",NFS
Via de Europese Unie leveren we een bijdrage voor de opvang van vluchtelingen in Turkije.,CFS
"U hebt dat in het betreffende dossier iets minder, wat ik betreur.",NFS
"Dat wil zeggen dat er geen ronkende verklaringen in de media worden afgelegd, dat er geen polarisering is, maar dat er gezocht wordt naar oplossingen om Europa van antwoord te dienen.",NFS
Ik wacht nu op die antwoorden.,NFS
"Wat mij vooral stoort, is dat onze F-16-piloten in een slecht daglicht worden geplaatst.",NFS
"Ik meen echter dat het belangrijk is, naast de aspecten die u genoemd hebt, dat alle bewoners worden meegenomen, niet alleen die uit één regio.",NFS
"Klare taal, tot vorige week.",NFS
"Mijn idee is gelijk aan het idee dat de OESO verdedigt, dat wat de OESO aanbeveelt aan alle westerse landen.",NFS
"Ik heb begrepen dat het project verder wordt bekeken in de regering, onder meer met uw instemming en die van de minister van Digitale Agenda.",UFS
"Mevrouw Van Camp, de beslissing is genomen door de Overeenkomstencommissie verpleegkundigen– verzekeringsinstellingen en het RIZIV.",CFS
Ik heb bedenkingen bij deze afschrikkingstrategie tegenover Rusland.,NFS
De volgende weken en maanden zullen wij werken aan zo’n programma.,NFS
"Toen was dat revolutionair en onbespreekbaar, maar intussen bestaat het in verschillende landen, onder meer in Estland, waar mensen zelfs via de mobiele telefoon kunnen stemmen.",CFS
De investeringscel werkt al maanden met de vertegenwoordigers van de Gewesten om een keuze te maken met betrekking tot de investeringen.,CFS
Wij leggen morgen niet de loonnorm vast.,NFS
Dit kunnen wij niet aanvaarden.,NFS
Ik heb ondertussen van beide collega’s vernomen dat er geen bezwaren zijn en dat we dus snel kunnen overgaan tot de inwerkingtreding van de maatregelen.,UFS
Op dit moment gaat het om nul personen.,CFS
"De patiënten die forfaitair zijn ingeschreven, betalen immers geen remgeld in eerste lijn en betalen ook minder remgeld en supplementen in tweede lijn, daar ze minder van deze tweedelijnszorg gebruikmaken en meer generische geneesmiddelen consumeren."" Het rapport concludeert duidelijk dat de wijkgezondheidscentra niet alleen op het vlak van de kwaliteit, maar ook op het vlak van de kosten de meest efficiënte manier zijn om de gezondheidszorg in België te garanderen.",CFS
"Uw minister van Energie is heel actief, als het gaat over de verlenging van de levensduur van de kerncentrales.",NFS
"Het gaat om aanzienlijke bedragen, en de geringste fout zadelt de Staat dan ook met torenhoge kosten op.",NFS
De cdH-fractie heeft reeds twee jaar geleden een voorstel ingediend om de vennootschapsbelasting te hervormen.,CFS
Voor individuele visa geldt hetzelfde als voor individuele regularisaties.,CFS
Dat is een procedure die wij kunnen begrijpen.,NFS
De ANPR-camera’s worden vandaag al gebruikt om verschillende vormen van fraude tegen te gaan.,CFS
De lonen zijn niet het probleem maar de oplossing.,NFS
De VSOA stelt dat er sinds 2000 een beleidslijn is om niet op treden.,CFS
"Natuurlijk moeten we die beelden met het nodige voorbehoud beoordelen, maar u zal het bewijsmateriaal moeten leveren.",NFS
Er zijn inderdaad zeer ongelukkige uitspraken gedaan door de Koninklijke Belgische Zwembond.,NFS
"U zei twee dagen geleden dat dit een recent fenomeen is, iets dat uit de lucht komt gevallen.",CFS
"Mijnheer de voorzitter, zou ik wel mogen vragen van mijn vriend Van Rompuy, die ik net een erelidmaatschap heb gegeven als beste N-VAblogger van het halfrond, om daar niet zo op te schieten.",NFS
"Ja, dat zijn de uitgangspunten maar we moeten wel duidelijk maken waar dat werk moet gebeuren.",NFS
Er duiken nu nieuwe feiten op.,UFS
"Ik meen dan ook dat naast een positieve en hoopvolle aanpak, waaraan we allemaal kunnen meewerken, een aantal ondersteuningsmaatregelen noodzakelijk zijn voor de economie.",NFS
"Wat betreft de rapporten van het Monitoringcomité, op 6 juli werd ons door het Monitoringcomité een eerste stand van zaken overgemaakt over de uitvoering van de begrotingsmaatregelen.",UFS
Zij vroegen het begrip beter te definiëren.,UFS
U weet dat die al enorm achterlopen.,NFS
"Ten slotte, ik wil nog één duidelijke opmerking maken.",NFS
"Ik verwijs ook naar het belangrijke werk dat op Europees vlak moet gebeuren, want als zeer klein landje met een zeer kleine spil in al die internationale transacties kunnen wij dat niet alleen waarmaken, ondanks het feit dat wij die ambitie en die doelstelling wel hebben en delen.",NFS
"Mijnheer de voorzitter, mijnheer de eerste minister, Kazachgate loopt toch echt wel de spuitgaten uit.",NFS
"Men doet aan verwijtpolitiek, maar ik verwijs naar het verslag.",NFS
"Ten eerste, u hebt vorig jaar de mensen al 2% doen inleveren in lonen en uitkeringen en u heeft de pensioenleeftijd verhoogd tot 67 jaar.",CFS
"De regering wil het zelfs afschuiven op een land als Libanon, waar nu al 1,5 miljoen Syrische vluchtelingen zitten op een bevolking van 4,5 miljoen mensen.",CFS
Wij hebben een wetsvoorstel ingediend daaromtrent en wij zijn zeer blij dat de hoofdlijnen daarvan zeer duidelijk herkenbaar zijn in de programmawet van de regering.,NFS
"Mijnheer de minister, wat mij enigszins verwondert, is dat u het heeft over mijn idee over die zaak.",NFS
"Natuurlijk heeft de ontwikkeling van hernieuwbare energie een prijs, maar ze is een conditio sine qua non kost om de energietransitie te realiseren.",NFS
Met één maatregel komen we er niet.,NFS
Iedereen weet dit en ik bevestig dit: het zijn ambitieuze doelstellingen.,NFS
Het is belangrijk dat dit heel duidelijk wordt gesteld.,NFS
"Zoals te verwachten, werden geen bewijzen geleverd die de Russische beschuldigingen zouden ondersteunen, ondanks de beweringen van de Russische ambassadeur dat de Russische militairen in Syrië over de middelen beschikken om een controle van de luchtoperaties over het hele Syrische territorium uit te voeren.",CFS
"Waar dat vandaan komt, weet ik niet",NFS
"Immers, enkel wanneer de Duits-Franse as en de Benelux goed werken, kan Europa vooruitgaan.",NFS
Ik meen dat het tijd is voor verandering.,NFS
Daarom zeg ik dat ik niet onder de indruk ben van uw show van vandaag.,NFS
In de pers lezen wij dat de federale meerderheid dan een bilan zal maken.,UFS
"De evacuatieoperatie die nu aan de gang is, heeft nood aan waarnemers van de Europese Unie en aan begeleiders van de VN.",NFS
Dat is uiteraard zeer goed.,NFS
Volgens mij komen we daarmee een eind weg.,NFS
Sinds vijf jaar gaat het in Syrië van kwaad naar erger.,NFS
"Ik weet niet of het in uw nieuwe ideologie past dat u, wanneer het u goed uitkomt, de sociale partners terzijde schuift.",NFS
"Een volk dat zijn verleden vergeet, is gedoemd het opnieuw te beleven.",NFS
U hebt kiesadvies gegeven tegen Trump,CFS
"Mijnheer de voorzitter, mijnheer de minister, mijn vraag zal inhoudelijk enigszins anders zijn dan de vraag die ik u in de commissie had bezorgd en waarvoor u mij nog een schriftelijk antwoord zal bezorgen.",NFS
Het tweede heeft betrekking op de fiscale rechtvaardigheid.,UFS
"Zorgnet Vlaanderen zegt nu heel uitdrukkelijk over de onderbezetting van de spoeddiensten dat heel veel ziekenhuizen wel willen, maar de personeelskosten met de huidige financiering niet meer aankunnen.",CFS
"Ik veronderstel dat met de uitleg die u gegeven hebt, u duidelijk aantoont dat die rechtvaardigheid – de echte fiscale rechtvaardigheid, mijnheer Calvo – erin bestaat dat de mensen en de vennootschappen in gelijke omstandigheden dezelfde belastingen betalen.",NFS
Er moet op Europees niveau actie worden ondernomen om gewicht in de schaal te kunnen leggen bij het beheer van het conflict en het verlenen van humanitaire hulp en om te verkomen dat er straffeloosheid heerst.,NFS
