sentence_id,content,ID,S_ID,POS_CC,POS_CD,POS_DT,POS_EX,POS_FW,POS_IN,POS_JJ,POS_JJR,POS_JJS,POS_LS,POS_MD,POS_NN,POS_NNS,POS_NNP,POS_NNPS,POS_PDT,POS_POS,POS_PRP,POS_PRP$,POS_RB,POS_RBR,POS_RBS,POS_RP,POS_SYM,POS_TO,POS_UH,POS_VB,POS_VBZ,POS_VBP,POS_VBD,POS_VBN,POS_VBG,POS_WDT,POS_WP,POS_WP$,POS_WRB,POS_COMMA,POS_COLON,POS_lBRACKET,POS_rBRACKET,POS_POINT,LENGTH,OBJ,SENT,CON_SPEAKER,category
1962,"Mijnheer de voorzitter, mijnheer de minister, ik kom terug op de vergadering van de commissie voor de Binnenlandse Zaken van gisteren, waar wij een aantal samengevoegde vragen stelden over Calais en de illegale transitmigranten.",782,1962,1,0,7,0,0,5,2,0,0,0,0,8,2,2,1,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,38,0.4333333333,-0.133333333,NULL,UFS
1320,"Deze trend is weliswaar in alle Europese landen zichtbaar, maar België bengelt aan de staart van het Europese peloton.",651,1320,1,0,2,0,0,3,3,0,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,21,0.3000000000,0.000000000,NULL,CFS
2162,"Het aantal slachtoffers is bekend: het gaat om 1.242 rechtstreekse slachtoffers voor hepatitis C, 41 voor aids en om 6.250 onrechtstreekse slachtoffers.",824,2162,3,4,1,0,0,2,3,0,0,0,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,25,0.6000000000,0.375000000,NULL,CFS
2257,Uit uw vraag blijkt het belang om de problematiek van de vluchten op een globale en overlegde wijze aan te pakken.,850,2257,2,0,3,0,0,3,1,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,22,0.8500000000,0.150000000,NULL,NFS
64," Mijnheer de minister, u zou mij hiermee bijzonder gelukkig maken",400,64,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1.0000000000,1.000000000,NULL,NFS
136,De patiënten zullen 60 miljoen euro minder betalen voor hun geneesmiddelen,412,136,0,3,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0000000000,0.000000000,NULL,CFS
2128,De Nationale Raad voor de paramedische beroepen heeft in 2013 al een negatief advies uitgebracht over de erkenning van dit beroep.,817,2128,0,1,4,0,0,3,2,0,0,0,0,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,22,0.1555555556,-0.111111111,NULL,CFS
2014,Wij moeten er dus zeker voor zorgen dat wij voldoende hebben geleerd uit de ervaring van 2012 en de periode daarvoor.,789,2014,2,1,2,0,0,3,1,0,0,0,2,2,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22,0.6000000000,0.300000000,NULL,NFS
700,Ook wij ervaren een gevoel van schaamte.,516,700,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.9000000000,0.800000000,NULL,NFS
1344,We kunnen die vicieuze cirkel doorbreken door het rigide Europese boekhoudkundige kader aan te passen.,659,1344,0,0,1,0,0,1,4,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0.4500000000,-0.250000000,NULL,NFS
140,U wilt liever dat de patiënten en niet de farmaceutische multinationals de rekening betalen,413,140,2,0,3,0,0,0,1,1,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0000000000,0.000000000,NULL,NFS
1187,Het EVA-Hof heeft ondertussen verklaard dat er zelfs sprake is van schending van de mensenrechten in de geldende procedures.,632,1187,1,0,3,0,0,3,1,0,0,0,2,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20,0.0000000000,0.000000000,NULL,CFS
803,Er lopen verschillende besprekingen over corridors.,544,803,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0.2000000000,0.000000000,NULL,UFS
2094,"U staat een geneeskunde met twee snelheden voor, terwijl u zou moeten zorgen voor een laagdrempelige geneeskunde voor iedereen en niet alleen voor de rijken!",810,2094,2,1,3,0,0,4,2,0,0,0,2,0,1,0,0,0,0,3,0,2,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,27,0.0000000000,0.000000000,NULL,NFS
381,"Mijnheer de minister, sp.a pleit voor beide",446,381,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0.0000000000,0.000000000,NULL,UFS
689,De nood- en doodskreten van de plaatselijke bevolking wekken woede en verontwaardiging op en we schamen ons voor onze onmacht.,515,689,3,0,2,0,0,3,1,0,0,0,0,4,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,22,0.1000000000,0.000000000,NULL,NFS
2349,Het Agentschap zal nauw verbonden blijven met de algemene administratie van de Thesaurie.,873,2349,0,0,2,0,0,2,2,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,0.4500000000,-0.116666667,NULL,NFS
1449,"Vandaag wordt er gefluisterd dat de meerderheid er alles aan doet om het vervelende rapport van het Monitoringcomité dat aantoont dat er budgettair geen orde op zaken is gesteld, vooral niet te krijgen voor de megapersconferentie en de superministerraad, voor de goednieuwsshow van Charles Michel.",679,1449,5,0,6,0,0,5,2,0,0,0,2,7,1,3,0,0,0,3,0,5,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,1,48,0.9666666667,-0.633333333,NULL,NFS
1711,Ik meen dat dit belangrijk is.,728,1711,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0.8500000000,0.350000000,NULL,NFS
1515,"Ten eerste, u bent op het einde bijzonder duidelijk geweest.",693,1515,0,1,1,0,0,2,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0.8400000000,0.630000000,NULL,NFS
783,De verantwoordelijkheid ligt niet alleen bij het regime van Bashar al-Assad maar zeker en vast ook bij Rusland en Iran.,536,783,3,0,2,0,0,3,2,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0.1666666667,0.000000000,NULL,NFS
192,De oplossing bestaat erin dat er eindelijk een ingangsexamen wordt georganiseerd aan Franstalige kant,419,192,1,0,2,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0.0000000000,0.000000000,NULL,NFS
902,"Mijnheer de minister, op het Vlaamse niveau zegt de betrokken minister, mevrouw Homans, dat zij u heeft aangezocht ter zake een onderzoek in te stellen via de Veiligheid van de Staat.",572,902,1,0,6,0,0,4,0,0,0,0,1,7,0,3,0,0,0,2,0,0,0,0,1,0,1,0,1,2,0,0,2,0,0,0,0,0,3,0,0,0,1,35,0.4000000000,0.000000000,NULL,CFS
2030,Mijn partij begrijpt een dergelijke beslissing niet.,792,2030,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.3000000000,0.000000000,NULL,NFS
1775,"Wel, het is natuurlijk moeilijk om te bewijzen dat men ergens niet geweest is.",747,1775,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,1.0000000000,-0.410000000,NULL,NFS
1658,"Wanneer een hervorming dringend noodzakelijk is, zijn wij bereid om mee te werken, maar wij willen niet dat er wetten op een drafje moeten worden goedgekeurd zonder dat ze eerst grondig werden onderzocht.",716,1658,5,0,2,0,0,0,2,1,0,0,4,3,1,0,0,0,0,3,1,3,0,0,3,0,1,0,1,0,1,1,1,0,0,0,0,0,2,0,0,0,1,36,0.6833333333,0.316666667,NULL,NFS
837,Het is duidelijk dat België alleen niet heel Europa tot actie kan aanzetten.,555,837,1,0,0,0,0,1,1,0,0,0,2,1,0,2,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0.5833333333,0.191666667,NULL,NFS
426,Dat is een simpele regel van drie: wij hebben voor die aandelen van BNP Paribas 58 euro per aandeel betaald,454,426,0,2,1,0,0,4,1,0,0,0,2,4,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21,0.9500000000,-0.250000000,NULL,CFS
2303,U wilt uw eigen idee erdoor drukken.,862,2303,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.3333333333,0.000000000,NULL,NFS
2221,"U wilde de voorbije maanden voor meer dan 7,6 miljard nieuwe belastingen invoeren.",842,2221,0,3,1,0,0,1,2,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0.3275000000,0.075000000,NULL,CFS
1877,Ik zal straks met mijn Canadese collega’s spreken.,768,1877,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0.0000000000,0.000000000,NULL,NFS
452,"Inzake de communicatie kan ik u zeggen dat er gisteren op een bepaald moment, na de beslissing in het kernkabinet, een lek op Bloomberg is geweest",461,452,1,0,5,0,0,4,0,0,0,0,3,6,0,1,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,28,0.4500000000,0.200000000,NULL,CFS
2091,Dat was een goede vertaling van uw liberale visie op de toegang tot de gezondheidszorg.,809,2091,0,0,3,0,0,3,2,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0.4500000000,0.275000000,NULL,NFS
1685,We moeten de moed hebben om die te ondersteunen.,722,1685,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.0000000000,0.000000000,NULL,NFS
1026,Het Rekenhof is evenwel van oordeel dat die rendementen nooit gehaald zullen worden.,598,1026,1,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,0.0000000000,0.000000000,NULL,CFS
838,Het is de hoogste tijd dat men begint te beseffen dat er gevaar dreigt.,556,838,2,0,1,0,0,0,0,0,1,0,2,3,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0.0000000000,0.000000000,NULL,NFS
489,"Ten tweede, wat u hebt gezegd over de financiële transactie, heb ik niet begrepen zoals de vorige collega dat heeft begrepen",470,489,2,1,2,0,0,2,2,0,0,0,2,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,23,0.0500000000,0.000000000,NULL,NFS
1522,Het lijkt mij een moeilijkheid te zijn dat zulks nog steeds niet het geval is.,694,1522,1,0,2,0,0,0,0,0,0,0,3,2,1,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0.0000000000,0.000000000,NULL,NFS
362,"Trouwens, wij hebben daar in het verleden tot vandaag nooit wat in de pap te brokken gehad; wij hadden daar nooit iets te zeggen",443,362,0,0,2,0,0,3,0,0,0,0,1,2,1,0,0,0,0,4,0,6,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,26,0.1000000000,0.000000000,NULL,NFS
1545,"Het evaluatie-instrument werd ontworpen door het UC Leuven- Limburg en bestaat uit een vragenlijst die moet worden ingevuld door de politie, de magistraat of een persoon die op een andere manier beroepsmatig bij de feiten betrokken is.",697,1545,2,0,8,0,0,5,1,0,0,0,4,7,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,2,40,0.2500000000,0.000000000,NULL,UFS
613,Het staat zelfs op een minimum in ons land.,491,613,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.0000000000,0.000000000,NULL,CFS
1884,We moeten alles in het werk stellen om de sceptici over de streep te halen.,769,1884,1,0,3,0,0,2,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0.0000000000,0.000000000,NULL,NFS
2332,De professionalisering van dat agentschap zal daartoe bijdragen.,868,2332,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0.0000000000,0.000000000,NULL,NFS
175,De quota voor 2024 en volgende jaren worden vastgelegd volgens een nieuwe berekeningsmethode op basis van het bevolkingsaantal,417,175,1,1,3,0,0,4,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,18,0.3250000000,0.075000000,NULL,CFS
1790,Zij beweren dat ze radarbeelden hebben waaruit blijkt dat de vliegtuigen opgestegen zijn in Jordanië en in de lucht werden bijgetankt door de Verenigde Staten.,748,1790,3,0,3,0,0,3,0,0,0,0,2,1,2,1,2,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,26,0.0000000000,0.000000000,NULL,CFS
2322,"Net als in de commissie voor de Financiën zullen wij ons onthouden, omdat er vragen onbeantwoord blijven en de ongerustheid niet geheel is weggenomen.",864,2322,2,0,3,0,0,2,1,0,0,0,3,3,0,1,0,0,0,2,1,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,26,0.4833333333,0.133333333,NULL,NFS
9,In een aantal recente persartikels vernemen wij echter dat ons land nog steeds achterloopt en dat reeds meer dan 30.000 jobs in onze buurlanden werden gecreëerd en niet hier,392,9,3,3,1,0,0,2,1,0,0,0,1,2,3,0,0,0,0,2,2,7,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,30,0.4000000000,0.000000000,NULL,CFS
1637,"Wij zetten hier vandaag immers een belangrijke stap, maar daarmee houdt het niet op.",714,1637,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0.8500000000,0.350000000,NULL,NFS
1979,"In de eerste plaats is er het grote aantal bewoners van de jungle, meer dan tienduizend personen.",784,1979,1,2,3,0,0,2,2,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,0.7000000000,0.366666667,NULL,CFS
619,"Wij moeten er alles op inzetten dat dit niet gebeurt, want het zou een slecht signaal zijn aan wie de afgelopen jaren braaf en trouw zijn boetes heeft betaald bij de vaststelling van een overtreding.",493,619,3,0,4,0,0,3,1,0,0,0,3,5,2,0,0,0,0,6,1,2,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,37,0.9000000000,0.000000000,NULL,NFS
800,"De gewonden worden geëvacueerd naar het gebied dat in handen is van de regeringstroepen en, als ze dat willen, naar rebellengebieden.",542,800,3,0,3,0,0,4,0,0,0,0,3,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,24,0.9000000000,-0.650000000,NULL,CFS
1131,De vakbonden blijven bedrijf per bedrijf beslissen wat havenarbeid is en wat niet.,620,1131,1,0,1,0,0,1,0,0,0,0,2,3,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0.0000000000,0.000000000,NULL,CFS
1811,"Dit zal uiteraard ook nefast zijn voor onze inspanningen, en ook voor die van collega’s, in de strijd tegen Daesh.",754,1811,1,0,1,0,0,5,0,0,0,0,1,2,2,1,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,23,0.8000000000,-0.500000000,NULL,NFS
889,"Het is niet alleen een plaats waar de eredienst wordt gehouden, maar ook een kazerne, een uitvalsbasis, een voorpost, een bolwerk, voor het verspreiden van hun ideeën.",569,889,1,0,7,0,0,2,1,0,0,0,2,6,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,1,33,0.5000000000,0.200000000,NULL,NFS
1312,"In het kader van de definiëring van de zware taken zijn wij er ook voorstander van dat de pensioenstelsels van ambtenaren, zelfstandigen en werknemers naar elkaar toe groeien, waarbij er geen bonussen voor de ene groep geleverd worden ten koste van een andere groep.",649,1312,2,0,6,0,0,9,1,0,0,0,2,6,6,0,0,0,0,5,0,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,47,0.5333333333,-0.258333333,NULL,NFS
1812,"Mijnheer de minister van Buitenlandse Zaken, toch moeten wij ook de dialoog met Rusland openhouden, want iedereen weet dat wij voor een oplossing van het conflict in Syrië Rusland nodig hebben.",755,1812,3,0,4,0,0,5,1,0,0,0,1,5,1,4,1,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,34,0.2000000000,0.125000000,NULL,NFS
1958,Wij moeten ons daarvan bewust zijn.,781,1958,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0.4333333333,0.166666667,NULL,NFS
2028,"Mevrouw de minister, wij hebben vernomen dat u de beslissing hebt genomen om vanaf 2017 geen nieuwe wijkgezondheidscentra meer te erkennen.",791,2028,2,1,2,0,0,0,1,0,0,0,1,4,1,0,0,0,0,3,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,23,0.4500000000,-0.075000000,NULL,CFS
2419,We zullen de voorliggende tekst dus goedkeuren.,886,2419,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.0000000000,0.000000000,NULL,UFS
1480,"Mevrouw de minister, ik sta erop dat de bilan op 23 juli eerlijk gebeurt.",686,1480,1,1,2,0,0,1,1,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0.9000000000,0.650000000,NULL,NFS
2193,"Mijnheer de minister, mijn vragen aan u zijn de volgende.",833,2193,0,0,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,12,0.2000000000,0.000000000,NULL,UFS
520,Verras ons en bouw die participatie op korte termijn zoveel mogelijk af,475,520,1,1,0,0,0,1,2,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.4500000000,0.050000000,NULL,NFS
1454,Zo sympathiek is mevrouw Wilmès.,680,1454,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.9000000000,0.600000000,NULL,NFS
416,Ik zou graag een antwoord krijgen op die vraag,452,416,0,0,1,0,0,1,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0000000000,0.000000000,NULL,NFS
681,We kijken uit naar een spoedige oplossing.,511,681,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0.7000000000,-0.275000000,NULL,NFS
1747,"De Russische ambassadeur werd vandaag op het matje geroepen door mijn diensten, op het niveau van de ambassadeur die de geografische dienst leidt, belast met onze relaties met Rusland.",736,1747,0,0,5,0,0,6,3,0,0,0,1,5,2,1,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,32,0.0000000000,0.000000000,NULL,CFS
1948,Op nationaal niveau hebben wij met staatssecretaris Francken bewezen dat wij het aankunnen als er opnieuw een vluchtelingenstroom op gang zou komen.,778,1948,2,0,2,0,0,3,1,0,0,0,1,6,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23,0.0000000000,0.000000000,NULL,NFS
701,"De menselijkheid is ten onder gegaan in de ruïnes van Aleppo, zoals dat in het verleden al gebeurde in Srebrenica en Rwanda.",517,701,2,0,2,0,0,5,0,0,0,0,1,2,1,3,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,24,0.1000000000,0.000000000,NULL,NFS
114,"Maar meer dan dat, wij zijn Europeanen en het programma van mevrouw Le Pen is zeer gevaarlijk voor Frankrijk, voor Europa en voor België, met vele turbulenties met betrekking tot bijvoorbeeld onze munt",408,114,4,2,0,0,0,7,1,0,0,0,2,4,1,6,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,36,0.9900000000,-0.660000000,NULL,NFS
2191,"De FOD Financiën bestaat uit meer dan 20.000 ambtenaren, die controles moeten uitvoeren, de fiscale administratie moeten doen en fiscale controles moeten verrichten.",831,2191,1,3,2,0,0,1,2,0,0,0,3,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,1,27,0.0000000000,0.000000000,NULL,CFS
2056,Dat alles zeg ik niet; dat concluderen gezondheidseconomen in verschillende studies en het Kenniscentrum.,801,2056,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,16,0.2000000000,0.000000000,NULL,CFS
1431,"Wat dat betreft, mijnheer de minister, zou u misschien ook daar het voorbeeld van Poetin moeten volgen.",673,1431,0,0,2,0,0,1,0,0,0,0,2,3,0,1,0,0,0,3,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,20,0.0000000000,0.000000000,NULL,NFS
