sentence_id,content,ID,S_ID,LENGTH,POL,SUBJ,LEMMA_SENT,POS_SENT,LEMMA_POS,category
136,De patiënten zullen 60 miljoen euro minder betalen voor hun geneesmiddelen,130,136,11,0.0000000000,0.000000000,de patiënt zullen 60 miljoen euro minder betalen voor hun geneesmiddeel,DT NNS MD CD CD NN CD VB IN PRP$ NNS,de_DT patiënt_NNS zullen_MD 60_CD miljoen_CD euro_NN minder_CD betalen_VB voor_IN hun_PRP$ geneesmiddeel_NNS,CFS
700,Ook wij ervaren een gevoel van schaamte.,405,700,8,0.8000000000,0.900000000,ook wij ervaren een gevoel van schaamte .,RB PRP RB DT NN IN NN .,ook_RB wij_PRP ervaren_RB een_DT gevoel_NN van_IN schaamte_NN ._.,NFS
140,U wilt liever dat de patiënten en niet de farmaceutische multinationals de rekening betalen,59,140,14,0.0000000000,0.000000000,u willen liever dat de patiënt en niet de farmaceutisch multinational de rekening betalen,PRP MD JJR CC DT NNS CC RB DT JJ NNS DT NN VB,u_PRP willen_MD liever_JJR dat_CC de_DT patiënt_NNS en_CC niet_RB de_DT farmaceutisch_JJ multinational_NNS de_DT rekening_NN betalen_VB,NFS
140,U wilt liever dat de patiënten en niet de farmaceutische multinationals de rekening betalen,131,140,14,0.0000000000,0.000000000,u willen liever dat de patiënt en niet de farmaceutisch multinational de rekening betalen,PRP MD JJR CC DT NNS CC RB DT JJ NNS DT NN VB,u_PRP willen_MD liever_JJR dat_CC de_DT patiënt_NNS en_CC niet_RB de_DT farmaceutisch_JJ multinational_NNS de_DT rekening_NN betalen_VB,NFS
803,Er lopen verschillende besprekingen over corridors.,453,803,7,0.0000000000,0.200000000,er lopen verschillende bespreking over corridor .,RB VBP PRP NNS IN NNS .,er_RB lopen_VBP verschillende_PRP bespreking_NNS over_IN corridor_NNS ._.,UFS
381,"Mijnheer de minister, sp.a pleit voor beide",238,381,8,0.0000000000,0.000000000,"mijnheer de minister , sp.a pleit voor beide","NN DT NN , NNP NN RP CD","mijnheer_NN de_DT minister_NN ,_, sp.a_NNP pleit_NN voor_RP beide_CD",UFS
689,De nood- en doodskreten van de plaatselijke bevolking wekken woede en verontwaardiging op en we schamen ons voor onze onmacht.,399,689,22,0.0000000000,0.100000000,de nood - en doodskreet van de plaatselijk bevolking wek woeen en verontwaardiging op en we schamen ons voor onze onmacht .,DT NN . CC NNS IN DT JJ NN NNS VBD CC NN IN CC PRP VB PRP$ IN PRP$ NN .,de_DT nood_NN -_. en_CC doodskreet_NNS van_IN de_DT plaatselijk_JJ bevolking_NN wek_NNS woeen_VBD en_CC verontwaardiging_NN op_IN en_CC we_PRP schamen_VB ons_PRP$ voor_IN onze_PRP$ onmacht_NN ._.,NFS
783,De verantwoordelijkheid ligt niet alleen bij het regime van Bashar al-Assad maar zeker en vast ook bij Rusland en Iran.,440,783,21,0.0000000000,0.166700000,de verantwoordelijkheid liggen niet alleen bij het regime van bashar al-assad maar zeker en vast ook bij rusland en iran .,DT NN VBZ RB RB IN DT NN IN NNP NN CC JJ CC JJ RB IN NNP CC NNP .,de_DT verantwoordelijkheid_NN liggen_VBZ niet_RB alleen_RB bij_IN het_DT regime_NN van_IN bashar_NNP al-assad_NN maar_CC zeker_JJ en_CC vast_JJ ook_RB bij_IN rusland_NNP en_CC iran_NNP ._.,NFS
192,De oplossing bestaat erin dat er eindelijk een ingangsexamen wordt georganiseerd aan Franstalige kant,146,192,14,0.0000000000,0.000000000,de oplossing bestaan erin dat er eindelijk een ingangsexamen worden organiseren aan franstalige kant,DT NN VBZ RB CC RB RB DT NN MD VBN IN NNP NN,de_DT oplossing_NN bestaan_VBZ erin_RB dat_CC er_RB eindelijk_RB een_DT ingangsexamen_NN worden_MD organiseren_VBN aan_IN franstalige_NNP kant_NN,NFS
837,Het is duidelijk dat België alleen niet heel Europa tot actie kan aanzetten.,467,837,14,0.1917000000,0.583300000,het zijn duidelijk dat belgië alleen niet heel europa tot actie kunnen aanzetten .,PRP MD JJ CC NNP RB RB RB NNP IN NN MD VB .,het_PRP zijn_MD duidelijk_JJ dat_CC belgië_NNP alleen_RB niet_RB heel_RB europa_NNP tot_IN actie_NN kunnen_MD aanzetten_VB ._.,NFS
426,Dat is een simpele regel van drie: wij hebben voor die aandelen van BNP Paribas 58 euro per aandeel betaald,264,426,21,-0.2500000000,0.950000000,dat zijn een simpel regel van drie : wij hebben voor die aandeel van bnp paribas 58 euro per aandeel betalen,PRP MD DT JJ NN IN CD . PRP MD IN PRP NNS IN NN NNP CD NN IN NN VBN,dat_PRP zijn_MD een_DT simpel_JJ regel_NN van_IN drie_CD :_. wij_PRP hebben_MD voor_IN die_PRP aandeel_NNS van_IN bnp_NN paribas_NNP 58_CD euro_NN per_IN aandeel_NN betalen_VBN,CFS
452,"Inzake de communicatie kan ik u zeggen dat er gisteren op een bepaald moment, na de beslissing in het kernkabinet, een lek op Bloomberg is geweest",281,452,28,0.2000000000,0.450000000,"inzake de communicatie kunnen ik u zeggen dat er gisteren op een bepaald moment , na de beslissing in het kernkabinet , een lek op bloomberg zijn wezen","IN DT NN MD PRP PRP VB CC RB RB RP DT NN NN , IN DT NN IN DT NN , DT NN IN NNP MD MD","inzake_IN de_DT communicatie_NN kunnen_MD ik_PRP u_PRP zeggen_VB dat_CC er_RB gisteren_RB op_RP een_DT bepaald_NN moment_NN ,_, na_IN de_DT beslissing_NN in_IN het_DT kernkabinet_NN ,_, een_DT lek_NN op_IN bloomberg_NNP zijn_MD wezen_MD",CFS
838,Het is de hoogste tijd dat men begint te beseffen dat er gevaar dreigt.,468,838,15,0.0000000000,0.000000000,het zijn de hoogst tijd dat men begint te beseffen dat er gevaar dreigen .,PRP MD DT JJS NN CC PRP NN TO VBP CC RB NN MD .,het_PRP zijn_MD de_DT hoogst_JJS tijd_NN dat_CC men_PRP begint_NN te_TO beseffen_VBP dat_CC er_RB gevaar_NN dreigen_MD ._.,NFS
489,"Ten tweede, wat u hebt gezegd over de financiële transactie, heb ik niet begrepen zoals de vorige collega dat heeft begrepen",302,489,23,0.0000000000,0.050000000,"ten tweede , wat u hebben zeggen over de financiël transactie , hebben ik niet begrijpen zoals de vorig collega dat hebben begrijpen","IN CD , PRP PRP VBP VBN IN DT JJ NN , MD PRP RB VBN CC DT JJ NN CC MD VBN","ten_IN tweede_CD ,_, wat_PRP u_PRP hebben_VBP zeggen_VBN over_IN de_DT financiël_JJ transactie_NN ,_, hebben_MD ik_PRP niet_RB begrijpen_VBN zoals_CC de_DT vorig_JJ collega_NN dat_CC hebben_MD begrijpen_VBN",NFS
362,"Trouwens, wij hebben daar in het verleden tot vandaag nooit wat in de pap te brokken gehad; wij hadden daar nooit iets te zeggen",231,362,26,0.0000000000,0.100000000,"trouwens , wij hebben daar in het verleden tot vandaag nooit wat in de pap te brok hebben ; wij hebben daar nooit iets te zeggen","RB , PRP MD RB IN DT NN IN RB RB PRP IN DT NN TO NNS VBN , PRP VBD RB RB PRP TO VB","trouwens_RB ,_, wij_PRP hebben_MD daar_RB in_IN het_DT verleden_NN tot_IN vandaag_RB nooit_RB wat_PRP in_IN de_DT pap_NN te_TO brok_NNS hebben_VBN ;_, wij_PRP hebben_VBD daar_RB nooit_RB iets_PRP te_TO zeggen_VB",NFS
613,Het staat zelfs op een minimum in ons land.,351,613,10,0.0000000000,0.000000000,het staan zelfs op een minimum in ons land .,PRP VBZ RB IN DT NN IN PRP$ NN .,het_PRP staan_VBZ zelfs_RB op_IN een_DT minimum_NN in_IN ons_PRP$ land_NN ._.,CFS
175,De quota voor 2024 en volgende jaren worden vastgelegd volgens een nieuwe berekeningsmethode op basis van het bevolkingsaantal,69,175,18,0.0750000000,0.325000000,de quota voor 2024 en volgennen jaar worden vastleggen volgens een nieuw berekeningsmethode op basis van het bevolkingsaantal,DT NN IN CD CC VBG NNS MD VBN IN DT JJ NN IN NN IN DT NN,de_DT quota_NN voor_IN 2024_CD en_CC volgennen_VBG jaar_NNS worden_MD vastleggen_VBN volgens_IN een_DT nieuw_JJ berekeningsmethode_NN op_IN basis_NN van_IN het_DT bevolkingsaantal_NN,CFS
175,De quota voor 2024 en volgende jaren worden vastgelegd volgens een nieuwe berekeningsmethode op basis van het bevolkingsaantal,141,175,18,0.0750000000,0.325000000,de quota voor 2024 en volgennen jaar worden vastleggen volgens een nieuw berekeningsmethode op basis van het bevolkingsaantal,DT NN IN CD CC VBG NNS MD VBN IN DT JJ NN IN NN IN DT NN,de_DT quota_NN voor_IN 2024_CD en_CC volgennen_VBG jaar_NNS worden_MD vastleggen_VBN volgens_IN een_DT nieuw_JJ berekeningsmethode_NN op_IN basis_NN van_IN het_DT bevolkingsaantal_NN,CFS
9,In een aantal recente persartikels vernemen wij echter dat ons land nog steeds achterloopt en dat reeds meer dan 30.000 jobs in onze buurlanden werden gecreëerd en niet hier,5,9,29,0.0000000000,0.400000000,in een aantal recente persartikel vernemen wij echter dat ons land nog steeds achterlopen en dat reeds meer dan 30.000 job in onze buurland worden creëeren en niet hier,IN DT JJ NN NNS VBP PRP RB CC PRP$ NN RB RB VBZ CC PRP RB CD RB CD NNS IN PRP$ NNS MD VBN CC RB RB,in_IN een_DT aantal_JJ recente_NN persartikel_NNS vernemen_VBP wij_PRP echter_RB dat_CC ons_PRP$ land_NN nog_RB steeds_RB achterlopen_VBZ en_CC dat_PRP reeds_RB meer_CD dan_RB 30.000_CD job_NNS in_IN onze_PRP$ buurland_NNS worden_MD creëeren_VBN en_CC niet_RB hier_RB,CFS
9,In een aantal recente persartikels vernemen wij echter dat ons land nog steeds achterloopt en dat reeds meer dan 30.000 jobs in onze buurlanden werden gecreëerd en niet hier,77,9,29,0.0000000000,0.400000000,in een aantal recente persartikel vernemen wij echter dat ons land nog steeds achterlopen en dat reeds meer dan 30.000 job in onze buurland worden creëeren en niet hier,IN DT JJ NN NNS VBP PRP RB CC PRP$ NN RB RB VBZ CC PRP RB CD RB CD NNS IN PRP$ NNS MD VBN CC RB RB,in_IN een_DT aantal_JJ recente_NN persartikel_NNS vernemen_VBP wij_PRP echter_RB dat_CC ons_PRP$ land_NN nog_RB steeds_RB achterlopen_VBZ en_CC dat_PRP reeds_RB meer_CD dan_RB 30.000_CD job_NNS in_IN onze_PRP$ buurland_NNS worden_MD creëeren_VBN en_CC niet_RB hier_RB,CFS
619,"Wij moeten er alles op inzetten dat dit niet gebeurt, want het zou een slecht signaal zijn aan wie de afgelopen jaren braaf en trouw zijn boetes heeft betaald bij de vaststelling van een overtreding.",356,619,37,0.0000000000,0.900000000,"wij moeten er alles op inzetten dat dit niet gebeuren , want het zullen een slecht signaal zijn aan wie de aflopen jaar braaf en trouw zijn boete hebben betalen bij de vaststelling van een overtreding .","PRP MD RB PRP RP VB CC PRP RB VBZ , CC PRP MD DT JJ NN PRP IN PRP DT VBN NNS NN CC NN PRP$ NNS MD VBN IN DT NN IN DT NN .","wij_PRP moeten_MD er_RB alles_PRP op_RP inzetten_VB dat_CC dit_PRP niet_RB gebeuren_VBZ ,_, want_CC het_PRP zullen_MD een_DT slecht_JJ signaal_NN zijn_PRP aan_IN wie_PRP de_DT aflopen_VBN jaar_NNS braaf_NN en_CC trouw_NN zijn_PRP$ boete_NNS hebben_MD betalen_VBN bij_IN de_DT vaststelling_NN van_IN een_DT overtreding_NN ._.",NFS
800,"De gewonden worden geëvacueerd naar het gebied dat in handen is van de regeringstroepen en, als ze dat willen, naar rebellengebieden.",451,800,24,-0.6500000000,0.900000000,"de winden worden ëvacueren naar het gebied dat in hand zijn van de regeringstroep en , als ze dat willen , naar rebellengebied .","DT VBN MD VBN IN DT NN PRP IN NNS MD IN DT NNS CC , CC PRP CC MD , IN NNS .","de_DT winden_VBN worden_MD ëvacueren_VBN naar_IN het_DT gebied_NN dat_PRP in_IN hand_NNS zijn_MD van_IN de_DT regeringstroep_NNS en_CC ,_, als_CC ze_PRP dat_CC willen_MD ,_, naar_IN rebellengebied_NNS ._.",CFS
520,Verras ons en bouw die participatie op korte termijn zoveel mogelijk af,316,520,12,0.0500000000,0.450000000,verras ons en bouw die participatie op kort termijn zoveel mogelijk af,NNP PRP$ CC NN PRP NN IN JJ NN CD JJ RP,verras_NNP ons_PRP$ en_CC bouw_NN die_PRP participatie_NN op_IN kort_JJ termijn_NN zoveel_CD mogelijk_JJ af_RP,NFS
416,Ik zou graag een antwoord krijgen op die vraag,257,416,9,0.0000000000,0.000000000,ik zullen graag een antwoord krijgen op die vraag,PRP MD JJ DT NN VB IN PRP NN,ik_PRP zullen_MD graag_JJ een_DT antwoord_NN krijgen_VB op_IN die_PRP vraag_NN,NFS
681,We kijken uit naar een spoedige oplossing.,394,681,8,-0.2750000000,0.700000000,we kijken uit naar een spoedig oplossing .,PRP VBP RP IN DT JJ NN .,we_PRP kijken_VBP uit_RP naar_IN een_DT spoedig_JJ oplossing_NN ._.,NFS
701,"De menselijkheid is ten onder gegaan in de ruïnes van Aleppo, zoals dat in het verleden al gebeurde in Srebrenica en Rwanda.",406,701,24,0.0000000000,0.100000000,"de menselijkheid zijn ten onder gaan in de ruïne van aleppo , zoals dat in het verleden al gebeuren in srebrenica en rwanda .","DT NN MD RP IN VBN IN DT NNS IN NNP , CC PRP IN PRP NN RB VBD IN NNP CC NNP .","de_DT menselijkheid_NN zijn_MD ten_RP onder_IN gaan_VBN in_IN de_DT ruïne_NNS van_IN aleppo_NNP ,_, zoals_CC dat_PRP in_IN het_PRP verleden_NN al_RB gebeuren_VBD in_IN srebrenica_NNP en_CC rwanda_NNP ._.",NFS
114,"Maar meer dan dat, wij zijn Europeanen en het programma van mevrouw Le Pen is zeer gevaarlijk voor Frankrijk, voor Europa en voor België, met vele turbulenties met betrekking tot bijvoorbeeld onze munt",46,114,36,-0.6600000000,0.990000000,"maar meer dan dat , wij zijn europeanen en het programma van mevrouw le pen zijn zeer gevaarlijk voor frankrijk , voor europa en voor belgië , met vele turbulentie met betrekking tot bijvoorbeeld onze munt","CC CD RB CC , PRP MD NNP CC PRP NN IN NN NNP NNP MD RB JJ IN NNP , IN NNP CC IN NNP , IN CD NNS IN NN IN RB PRP$ NN","maar_CC meer_CD dan_RB dat_CC ,_, wij_PRP zijn_MD europeanen_NNP en_CC het_PRP programma_NN van_IN mevrouw_NN le_NNP pen_NNP zijn_MD zeer_RB gevaarlijk_JJ voor_IN frankrijk_NNP ,_, voor_IN europa_NNP en_CC voor_IN belgië_NNP ,_, met_IN vele_CD turbulentie_NNS met_IN betrekking_NN tot_IN bijvoorbeeld_RB onze_PRP$ munt_NN",NFS
114,"Maar meer dan dat, wij zijn Europeanen en het programma van mevrouw Le Pen is zeer gevaarlijk voor Frankrijk, voor Europa en voor België, met vele turbulenties met betrekking tot bijvoorbeeld onze munt",118,114,36,-0.6600000000,0.990000000,"maar meer dan dat , wij zijn europeanen en het programma van mevrouw le pen zijn zeer gevaarlijk voor frankrijk , voor europa en voor belgië , met vele turbulentie met betrekking tot bijvoorbeeld onze munt","CC CD RB CC , PRP MD NNP CC PRP NN IN NN NNP NNP MD RB JJ IN NNP , IN NNP CC IN NNP , IN CD NNS IN NN IN RB PRP$ NN","maar_CC meer_CD dan_RB dat_CC ,_, wij_PRP zijn_MD europeanen_NNP en_CC het_PRP programma_NN van_IN mevrouw_NN le_NNP pen_NNP zijn_MD zeer_RB gevaarlijk_JJ voor_IN frankrijk_NNP ,_, voor_IN europa_NNP en_CC voor_IN belgië_NNP ,_, met_IN vele_CD turbulentie_NNS met_IN betrekking_NN tot_IN bijvoorbeeld_RB onze_PRP$ munt_NN",NFS
616,Dit zou ermee te maken hebben dat sinds 2010 aan de politiediensten geen uitzondering werd verleend voor het verkrijgen van die machtiging.,353,616,23,0.0000000000,0.000000000,dit zullen ermee te maken hebben dat sinds 2010 aan de politiedienst geen uitzondering worden verlenen voor het verkrijgen van die machtiging .,PRP MD RB TO VB MD PRP IN CD IN DT NNS PRP NN MD VBN IN DT VB IN PRP NN .,dit_PRP zullen_MD ermee_RB te_TO maken_VB hebben_MD dat_PRP sinds_IN 2010_CD aan_IN de_DT politiedienst_NNS geen_PRP uitzondering_NN worden_MD verlenen_VBN voor_IN het_DT verkrijgen_VB van_IN die_PRP machtiging_NN ._.,CFS
468,Uw budgettaire moeilijkheden dicteren de agenda,291,468,6,0.0000000000,0.000000000,uw budgettair moeilijkheid dicteer de agenda,PRP$ JJ NNS NNS DT NN,uw_PRP$ budgettair_JJ moeilijkheid_NNS dicteer_NNS de_DT agenda_NN,NFS
669,Het is goed dat dit probleem snel wordt aangepakt en snel wordt rechtgezet.,388,669,14,0.4500000000,0.800000000,het zijn goed dat dit probleem snel worden aanpakken en snel worden rechtgezetten .,PRP MD JJ CC PRP NN JJ MD VBN CC JJ MD VBN .,het_PRP zijn_MD goed_JJ dat_CC dit_PRP probleem_NN snel_JJ worden_MD aanpakken_VBN en_CC snel_JJ worden_MD rechtgezetten_VBN ._.,NFS
631,De eerste vraag die rijst is of in het verleden procedureel iets fout is gelopen waardoor de politie nu problemen ondervindt.,366,631,22,-0.2333000000,0.300000000,de eerste vraag die rijst zijn of in het verleden procedureel iets fout zijn lopen waardoor de politie nu probleem ondervinden .,DT CD NN PRP NN MD CC IN DT NN NN DT NN MD VBN RB DT NN RB NNS VBZ .,de_DT eerste_CD vraag_NN die_PRP rijst_NN zijn_MD of_CC in_IN het_DT verleden_NN procedureel_NN iets_DT fout_NN zijn_MD lopen_VBN waardoor_RB de_DT politie_NN nu_RB probleem_NNS ondervinden_VBZ ._.,NFS
425,"Er werd 9,4 miljard betaald voor de aandelen van Fortis, die vervolgens, korte tijd later, geruild zijn voor 121 miljoen aandelen van BNP Paribas",263,425,27,0.0000000000,0.200000000,"er worden 9,4 miljard betalen voor de aandeel van fortis , die vervolgens , kort tijd later , ruilen zijn voor 121 miljoen aandeel van bnp paribas","RB MD CD CD VBN IN DT NNS IN NNP , PRP RB , JJ NN JJR , VBN PRP IN CD CD NNS IN NN NNP","er_RB worden_MD 9,4_CD miljard_CD betalen_VBN voor_IN de_DT aandeel_NNS van_IN fortis_NNP ,_, die_PRP vervolgens_RB ,_, kort_JJ tijd_NN later_JJR ,_, ruilen_VBN zijn_PRP voor_IN 121_CD miljoen_CD aandeel_NNS van_IN bnp_NN paribas_NNP",CFS
193,Dit examen zal er moeten blijven en het zal ook moeten werken,147,193,12,0.0000000000,0.000000000,dit examen zullen er moeten blijven en het zullen ook moeten werken,PRP NN MD RB MD MD CC PRP MD RB MD VB,dit_PRP examen_NN zullen_MD er_RB moeten_MD blijven_MD en_CC het_PRP zullen_MD ook_RB moeten_MD werken_VB,NFS
385,De zogenaamde Dexiapartijen zullen wel weten wat ik bedoel,240,385,9,-0.1500000000,0.350000000,de zogenaamd dexiapartijen zullen wel wijten wat ik bedoelen,DT JJ NNP VBP RB VB PRP PRP VBP,de_DT zogenaamd_JJ dexiapartijen_NNP zullen_VBP wel_RB wijten_VB wat_PRP ik_PRP bedoelen_VBP,NFS
818,De partijen in het conflict moeten echter willen meewerken aan een oplossing.,460,818,13,0.0000000000,0.000000000,de partij in het conflict moeten echter willen meewerken aan een oplossing .,DT NNS IN DT NN VBP RB MD VB IN DT NN .,de_DT partij_NNS in_IN het_DT conflict_NN moeten_VBP echter_RB willen_MD meewerken_VB aan_IN een_DT oplossing_NN ._.,NFS
167,"Plots hoor ik dat het overschot in 2024 geen 3000 zal zijn, maar 1531, de helft dus",67,167,19,0.0000000000,0.600000000,"plots hoor ik dat het overschot in 2024 geen 3000 zullen zijn , maar 1531 , de helft dus","RB UH PRP CC DT NN IN CD PRP CD MD MD , CC CD , DT NN RB","plots_RB hoor_UH ik_PRP dat_CC het_DT overschot_NN in_IN 2024_CD geen_PRP 3000_CD zullen_MD zijn_MD ,_, maar_CC 1531_CD ,_, de_DT helft_NN dus_RB",CFS
167,"Plots hoor ik dat het overschot in 2024 geen 3000 zal zijn, maar 1531, de helft dus",139,167,19,0.0000000000,0.600000000,"plots hoor ik dat het overschot in 2024 geen 3000 zullen zijn , maar 1531 , de helft dus","RB UH PRP CC DT NN IN CD PRP CD MD MD , CC CD , DT NN RB","plots_RB hoor_UH ik_PRP dat_CC het_DT overschot_NN in_IN 2024_CD geen_PRP 3000_CD zullen_MD zijn_MD ,_, maar_CC 1531_CD ,_, de_DT helft_NN dus_RB",CFS
527,"U bevestigt dat we twee bestuurders houden, maar geen woord over de manier waarop zij de veiligheid van ons land zullen garanderen, over hoe zij ervoor zullen zorgen dat dit ons niet meer overkomt",320,527,36,0.0000000000,0.000000000,"u bevestigen dat we twee bestuurder houden , maar geen woord over de manier waarop zij de veiligheid van ons land zullen garanderen , over hoe zij ervoor zullen zorg dat dit ons niet meer overkomen","PRP VBP CC PRP CD NNS VB , CC PRP NN IN DT NN RB PRP DT NN IN PRP$ NN MD VB , IN RB PRP RB MD NNS CC PRP PRP$ RB RB VBZ","u_PRP bevestigen_VBP dat_CC we_PRP twee_CD bestuurder_NNS houden_VB ,_, maar_CC geen_PRP woord_NN over_IN de_DT manier_NN waarop_RB zij_PRP de_DT veiligheid_NN van_IN ons_PRP$ land_NN zullen_MD garanderen_VB ,_, over_IN hoe_RB zij_PRP ervoor_RB zullen_MD zorg_NNS dat_CC dit_PRP ons_PRP$ niet_RB meer_RB overkomen_VBZ",NFS
668,"Mijnheer de minister, ik dank u voor uw antwoord en voor het snelle ingrijpen.",387,668,16,0.0000000000,0.000000000,"mijnheer de minister , ik danken u voor uw antwoord en voor het snel ingrijpen .","NN DT NN , PRP VBP PRP IN PRP$ NN CC IN DT JJ VB .","mijnheer_NN de_DT minister_NN ,_, ik_PRP danken_VBP u_PRP voor_IN uw_PRP$ antwoord_NN en_CC voor_IN het_DT snel_JJ ingrijpen_VB ._.",NFS
612,"Mijnheer de voorzitter, mijnheer de minister, collega’s, deze week lazen we nog in de media dat het aantal verkeersslachtoffers daalt.",350,612,26,0.0000000000,0.000000000,"mijnheer de voorzitter , mijnheer de minister , collega ’  , deze week lezen we nog in de media dat het aantal verkeersslachtoffer daalt .","NN DT NN , NN DT NN , NN NN NNS , PRP NN VBD PRP RB IN DT NN CC DT NN NNS RB .","mijnheer_NN de_DT voorzitter_NN ,_, mijnheer_NN de_DT minister_NN ,_, collega_NN ’_NN _NNS ,_, deze_PRP week_NN lezen_VBD we_PRP nog_RB in_IN de_DT media_NN dat_CC het_DT aantal_NN verkeersslachtoffer_NNS daalt_RB ._.",CFS
812,Er wordt met de afgevaardigden van het regime onderhandeld over de transitie.,458,812,13,0.0000000000,0.000000000,er worden met de afgevaardigen van het regime onderhandeld over de transitie .,RB MD IN DT VBN IN DT NN NN IN DT NN .,er_RB worden_MD met_IN de_DT afgevaardigen_VBN van_IN het_DT regime_NN onderhandeld_NN over_IN de_DT transitie_NN ._.,CFS
779,Via de Europese Unie leveren we een bijdrage voor de opvang van vluchtelingen in Turkije.,437,779,16,0.0000000000,0.000000000,via de europees unie leveren we een bijdrage voor de opvang van vluchteling in turkije .,IN DT JJ NNP VB PRP DT NN IN DT NN IN NNS IN NNP .,via_IN de_DT europees_JJ unie_NNP leveren_VB we_PRP een_DT bijdrage_NN voor_IN de_DT opvang_NN van_IN vluchteling_NNS in_IN turkije_NNP ._.,CFS
